<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20110503,000000,1868.0000000
LKOH,D,20110504,000000,1828.7000000
LKOH,D,20110505,000000,1806.7000000
LKOH,D,20110506,000000,1863.5000000
LKOH,D,20110510,000000,1803.3000000
LKOH,D,20110511,000000,1777.5000000
LKOH,D,20110512,000000,1723.8000000
LKOH,D,20110513,000000,1733.4000000
LKOH,D,20110516,000000,1738.9000000
LKOH,D,20110517,000000,1742.0000000
LKOH,D,20110518,000000,1744.9000000
LKOH,D,20110519,000000,1747.0000000
LKOH,D,20110520,000000,1711.2000000
LKOH,D,20110523,000000,1702.9000000
LKOH,D,20110524,000000,1720.0000000
LKOH,D,20110525,000000,1749.5000000
LKOH,D,20110526,000000,1728.4000000
LKOH,D,20110527,000000,1757.4000000
LKOH,D,20110530,000000,1753.0000000
LKOH,D,20110531,000000,1850.0000000
LKOH,D,20110601,000000,1768.5000000
LKOH,D,20110602,000000,1785.0000000
LKOH,D,20110603,000000,1744.5000000
LKOH,D,20110606,000000,1759.0000000
LKOH,D,20110607,000000,1795.8000000
LKOH,D,20110608,000000,1788.0000000
LKOH,D,20110609,000000,1800.0000000
LKOH,D,20110610,000000,1785.1000000
LKOH,D,20110614,000000,1771.9000000
LKOH,D,20110615,000000,1774.0000000
LKOH,D,20110616,000000,1773.0000000
LKOH,D,20110617,000000,1740.0000000
LKOH,D,20110620,000000,1737.9000000
LKOH,D,20110621,000000,1738.0000000
LKOH,D,20110622,000000,1754.0000000
LKOH,D,20110623,000000,1720.0000000
LKOH,D,20110624,000000,1745.9000000
LKOH,D,20110627,000000,1746.5000000
LKOH,D,20110628,000000,1762.0000000
LKOH,D,20110629,000000,1757.0000000
LKOH,D,20110630,000000,1777.3000000
LKOH,D,20110701,000000,1793.0000000
LKOH,D,20110704,000000,1803.9000000
LKOH,D,20110705,000000,1804.7000000
LKOH,D,20110706,000000,1789.8000000
LKOH,D,20110707,000000,1837.5000000
LKOH,D,20110708,000000,1827.1000000
LKOH,D,20110711,000000,1803.9000000
LKOH,D,20110712,000000,1808.4000000
LKOH,D,20110713,000000,1822.0000000
LKOH,D,20110714,000000,1837.0000000
LKOH,D,20110715,000000,1838.1000000
LKOH,D,20110718,000000,1810.0000000
LKOH,D,20110719,000000,1826.1000000
LKOH,D,20110720,000000,1823.0000000
LKOH,D,20110721,000000,1872.0000000
LKOH,D,20110722,000000,1875.0000000
LKOH,D,20110725,000000,1878.0000000
LKOH,D,20110726,000000,1871.4000000
LKOH,D,20110727,000000,1846.4000000
LKOH,D,20110728,000000,1858.7000000
LKOH,D,20110729,000000,1848.0000000
LKOH,D,20110801,000000,1860.0000000
LKOH,D,20110802,000000,1835.0000000
LKOH,D,20110803,000000,1785.0000000
LKOH,D,20110804,000000,1740.0000000
LKOH,D,20110805,000000,1710.1000000
LKOH,D,20110808,000000,1669.0000000
LKOH,D,20110809,000000,1674.9000000
LKOH,D,20110810,000000,1590.0000000
LKOH,D,20110811,000000,1615.0000000
LKOH,D,20110812,000000,1619.7000000
LKOH,D,20110815,000000,1667.0000000
LKOH,D,20110816,000000,1628.0000000
LKOH,D,20110817,000000,1652.9000000
LKOH,D,20110818,000000,1632.0000000
LKOH,D,20110819,000000,1630.0000000
LKOH,D,20110822,000000,1626.2000000
LKOH,D,20110823,000000,1672.0000000
LKOH,D,20110824,000000,1686.0000000
LKOH,D,20110825,000000,1652.8000000
LKOH,D,20110826,000000,1680.0000000
LKOH,D,20110829,000000,1738.9000000
LKOH,D,20110830,000000,1728.7000000
LKOH,D,20110831,000000,1739.2000000
LKOH,D,20110901,000000,1738.0000000
LKOH,D,20110902,000000,1706.5000000
LKOH,D,20110905,000000,1697.8000000
LKOH,D,20110906,000000,1722.1000000
LKOH,D,20110907,000000,1770.3000000
LKOH,D,20110908,000000,1760.0000000
LKOH,D,20110909,000000,1727.0000000
LKOH,D,20110912,000000,1723.8000000
LKOH,D,20110913,000000,1708.4000000
LKOH,D,20110914,000000,1727.0000000
LKOH,D,20110915,000000,1733.0000000
LKOH,D,20110916,000000,1725.3000000
LKOH,D,20110919,000000,1741.7000000
LKOH,D,20110920,000000,1770.2000000
LKOH,D,20110921,000000,1767.8000000
LKOH,D,20110922,000000,1595.1000000
LKOH,D,20110923,000000,1537.1000000
LKOH,D,20110926,000000,1575.6000000
LKOH,D,20110927,000000,1606.3000000
LKOH,D,20110928,000000,1617.3000000
LKOH,D,20110929,000000,1653.8000000
LKOH,D,20110930,000000,1637.6000000
LKOH,D,20111003,000000,1605.0000000
LKOH,D,20111004,000000,1550.0000000
LKOH,D,20111005,000000,1547.1000000
LKOH,D,20111006,000000,1591.4000000
LKOH,D,20111007,000000,1618.7000000
LKOH,D,20111010,000000,1670.0000000
LKOH,D,20111011,000000,1664.0000000
LKOH,D,20111012,000000,1686.5000000
LKOH,D,20111013,000000,1666.8000000
LKOH,D,20111014,000000,1712.0000000
LKOH,D,20111017,000000,1675.0000000
LKOH,D,20111018,000000,1725.7000000
LKOH,D,20111019,000000,1707.4000000
LKOH,D,20111020,000000,1701.3000000
LKOH,D,20111021,000000,1746.0000000
LKOH,D,20111024,000000,1777.9000000
LKOH,D,20111025,000000,1756.7000000
LKOH,D,20111026,000000,1770.0000000
LKOH,D,20111027,000000,1759.0000000
