<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20100909,000000,83.6600000
SBER,D,20100910,000000,83.3600000
SBER,D,20100913,000000,84.5900000
SBER,D,20100914,000000,84.5000000
SBER,D,20100915,000000,84.4500000
SBER,D,20100916,000000,83.0000000
SBER,D,20100917,000000,82.1500000
SBER,D,20100920,000000,83.3700000
SBER,D,20100921,000000,83.8400000
SBER,D,20100922,000000,82.7300000
SBER,D,20100923,000000,84.3000000
SBER,D,20100924,000000,84.8100000
SBER,D,20100927,000000,83.6600000
SBER,D,20100928,000000,83.0600000
SBER,D,20100929,000000,83.9000000
SBER,D,20100930,000000,86.0800000
SBER,D,20101001,000000,89.0900000
SBER,D,20101004,000000,89.8800000
SBER,D,20101005,000000,91.9700000
SBER,D,20101006,000000,91.2000000
SBER,D,20101007,000000,90.4000000
SBER,D,20101008,000000,90.5000000
SBER,D,20101011,000000,91.7400000
SBER,D,20101012,000000,90.9000000
SBER,D,20101013,000000,91.3000000
SBER,D,20101014,000000,91.4700000
SBER,D,20101015,000000,92.5300000
SBER,D,20101018,000000,94.9600000
SBER,D,20101019,000000,95.3700000
SBER,D,20101020,000000,97.7000000
SBER,D,20101021,000000,103.3100000
SBER,D,20101022,000000,101.9000000
SBER,D,20101025,000000,102.3000000
SBER,D,20101026,000000,101.4200000
SBER,D,20101027,000000,99.7200000
SBER,D,20101028,000000,99.3500000
SBER,D,20101029,000000,101.3600000
SBER,D,20101101,000000,101.8500000
SBER,D,20101102,000000,102.3500000
SBER,D,20101103,000000,103.3000000
SBER,D,20101108,000000,103.9500000
SBER,D,20101109,000000,103.5900000
SBER,D,20101110,000000,100.4400000
SBER,D,20101111,000000,98.4000000
SBER,D,20101112,000000,97.9400000
SBER,D,20101113,000000,97.8000000
SBER,D,20101115,000000,99.2000000
SBER,D,20101116,000000,95.2600000
SBER,D,20101117,000000,97.2000000
SBER,D,20101118,000000,99.6600000
SBER,D,20101119,000000,98.7000000
SBER,D,20101122,000000,99.1500000
SBER,D,20101123,000000,98.5000000
SBER,D,20101124,000000,101.3100000
SBER,D,20101125,000000,102.6000000
SBER,D,20101126,000000,101.3600000
SBER,D,20101129,000000,100.7100000
SBER,D,20101130,000000,101.5100000
SBER,D,20101201,000000,103.3400000
SBER,D,20101202,000000,103.6400000
SBER,D,20101203,000000,103.0300000
SBER,D,20101206,000000,105.5600000
SBER,D,20101207,000000,107.3700000
SBER,D,20101208,000000,104.6700000
SBER,D,20101209,000000,104.6300000
SBER,D,20101210,000000,104.9200000
SBER,D,20101213,000000,107.4500000
SBER,D,20101214,000000,107.2500000
SBER,D,20101215,000000,107.7000000
SBER,D,20101216,000000,106.3000000
SBER,D,20101217,000000,105.7000000
SBER,D,20101220,000000,105.6000000
SBER,D,20101221,000000,106.8000000
SBER,D,20101222,000000,106.7800000
SBER,D,20101223,000000,106.9900000
SBER,D,20101224,000000,106.2300000
SBER,D,20101227,000000,105.1200000
SBER,D,20101228,000000,104.4700000
SBER,D,20101229,000000,104.3500000
SBER,D,20101230,000000,104.1800000
SBER,D,20110111,000000,103.7800000
SBER,D,20110112,000000,107.0800000
SBER,D,20110113,000000,107.5400000
SBER,D,20110114,000000,107.2100000
SBER,D,20110117,000000,109.5700000
SBER,D,20110118,000000,108.0800000
SBER,D,20110119,000000,107.6600000
SBER,D,20110120,000000,105.2100000
SBER,D,20110121,000000,105.6100000
SBER,D,20110124,000000,104.0500000
SBER,D,20110125,000000,105.9800000
SBER,D,20110126,000000,108.6000000
SBER,D,20110127,000000,107.7400000
SBER,D,20110128,000000,106.3800000
SBER,D,20110131,000000,105.9000000
SBER,D,20110201,000000,106.4000000
SBER,D,20110202,000000,104.3000000
SBER,D,20110203,000000,103.8800000
SBER,D,20110204,000000,102.8000000
SBER,D,20110207,000000,103.1800000
SBER,D,20110208,000000,101.4200000
SBER,D,20110209,000000,99.8600000
SBER,D,20110210,000000,96.3000000
SBER,D,20110211,000000,101.0400000
SBER,D,20110214,000000,101.2900000
SBER,D,20110215,000000,99.5100000
SBER,D,20110216,000000,100.6000000
SBER,D,20110217,000000,100.9000000
SBER,D,20110218,000000,100.8200000
SBER,D,20110221,000000,100.4900000
SBER,D,20110222,000000,98.5100000
SBER,D,20110224,000000,97.2000000
SBER,D,20110225,000000,100.3400000
SBER,D,20110228,000000,102.1000000
SBER,D,20110301,000000,99.8900000
SBER,D,20110302,000000,99.5000000
SBER,D,20110303,000000,101.9900000
SBER,D,20110304,000000,100.3300000
SBER,D,20110305,000000,101.5500000
SBER,D,20110309,000000,102.9100000
SBER,D,20110310,000000,99.7700000
SBER,D,20110311,000000,98.7500000
SBER,D,20110314,000000,97.1000000
SBER,D,20110315,000000,95.0000000
SBER,D,20110316,000000,94.4700000
SBER,D,20110317,000000,98.1900000
SBER,D,20110318,000000,100.1600000
SBER,D,20110321,000000,100.5400000
SBER,D,20110322,000000,100.3000000
SBER,D,20110323,000000,101.1000000
SBER,D,20110324,000000,105.0900000
SBER,D,20110325,000000,106.9400000
SBER,D,20110328,000000,106.2300000
SBER,D,20110329,000000,106.2600000
SBER,D,20110330,000000,106.9300000
SBER,D,20110331,000000,106.6500000
SBER,D,20110401,000000,108.7200000
SBER,D,20110404,000000,108.4300000
SBER,D,20110405,000000,106.8500000
SBER,D,20110406,000000,107.9900000
SBER,D,20110407,000000,106.9800000
SBER,D,20110408,000000,109.1000000
SBER,D,20110411,000000,108.4800000
SBER,D,20110412,000000,104.8800000
SBER,D,20110413,000000,106.2900000
SBER,D,20110414,000000,106.4300000
SBER,D,20110415,000000,105.9200000
SBER,D,20110418,000000,100.3400000
SBER,D,20110419,000000,101.6100000
SBER,D,20110420,000000,102.8400000
SBER,D,20110421,000000,102.6600000
SBER,D,20110422,000000,103.9200000
SBER,D,20110425,000000,101.8300000
SBER,D,20110426,000000,101.5000000
SBER,D,20110427,000000,100.1700000
SBER,D,20110428,000000,101.1400000
SBER,D,20110429,000000,100.0000000
SBER,D,20110503,000000,97.7000000
SBER,D,20110504,000000,96.4000000
SBER,D,20110505,000000,95.6100000
SBER,D,20110506,000000,98.2000000
SBER,D,20110510,000000,97.3500000
SBER,D,20110511,000000,96.7800000
SBER,D,20110512,000000,96.7000000
SBER,D,20110513,000000,97.9900000
SBER,D,20110516,000000,97.9100000
SBER,D,20110517,000000,96.0700000
SBER,D,20110518,000000,97.1700000
SBER,D,20110519,000000,96.5300000
SBER,D,20110520,000000,94.0000000
SBER,D,20110523,000000,91.6500000
SBER,D,20110524,000000,93.6200000
SBER,D,20110525,000000,95.2500000
SBER,D,20110526,000000,95.7000000
SBER,D,20110527,000000,97.1000000
SBER,D,20110530,000000,97.4000000
SBER,D,20110531,000000,97.5900000
SBER,D,20110601,000000,96.7300000
SBER,D,20110602,000000,96.9100000
SBER,D,20110603,000000,95.0200000
SBER,D,20110606,000000,95.9000000
SBER,D,20110607,000000,96.2500000
SBER,D,20110608,000000,95.9000000
SBER,D,20110609,000000,99.2200000
SBER,D,20110610,000000,97.5500000
SBER,D,20110614,000000,97.7000000
SBER,D,20110615,000000,97.7000000
SBER,D,20110616,000000,96.9700000
SBER,D,20110617,000000,95.3300000
SBER,D,20110620,000000,94.7600000
SBER,D,20110621,000000,96.0500000
SBER,D,20110622,000000,95.7400000
SBER,D,20110623,000000,94.1900000
SBER,D,20110624,000000,97.1500000
SBER,D,20110627,000000,96.5400000
SBER,D,20110628,000000,99.1500000
SBER,D,20110629,000000,99.4700000
SBER,D,20110630,000000,100.0000000
SBER,D,20110701,000000,104.5000000
SBER,D,20110704,000000,104.7200000
SBER,D,20110705,000000,104.3000000
SBER,D,20110706,000000,104.3600000
SBER,D,20110707,000000,107.6200000
SBER,D,20110708,000000,105.2700000
SBER,D,20110711,000000,102.4600000
SBER,D,20110712,000000,102.5500000
SBER,D,20110713,000000,103.8900000
SBER,D,20110714,000000,104.3100000
SBER,D,20110715,000000,105.4600000
SBER,D,20110718,000000,101.3000000
SBER,D,20110719,000000,102.3400000
SBER,D,20110720,000000,101.9000000
SBER,D,20110721,000000,103.0300000
SBER,D,20110722,000000,101.8000000
SBER,D,20110725,000000,102.6200000
SBER,D,20110726,000000,102.2100000
SBER,D,20110727,000000,101.6200000
SBER,D,20110728,000000,102.6400000
SBER,D,20110729,000000,101.7500000
SBER,D,20110801,000000,102.7500000
SBER,D,20110802,000000,102.4700000
SBER,D,20110803,000000,99.4700000
SBER,D,20110804,000000,98.6000000
SBER,D,20110805,000000,95.8500000
SBER,D,20110808,000000,89.7600000
SBER,D,20110809,000000,91.5600000
SBER,D,20110810,000000,85.1600000
SBER,D,20110811,000000,83.7200000
SBER,D,20110812,000000,85.5000000
SBER,D,20110815,000000,88.0600000
SBER,D,20110816,000000,86.4500000
SBER,D,20110817,000000,87.0500000
SBER,D,20110818,000000,81.5900000
SBER,D,20110819,000000,78.7800000
SBER,D,20110822,000000,78.7300000
SBER,D,20110823,000000,77.4400000
SBER,D,20110824,000000,78.0000000
SBER,D,20110825,000000,78.9000000
SBER,D,20110826,000000,77.7900000
SBER,D,20110829,000000,81.7000000
SBER,D,20110830,000000,82.1500000
SBER,D,20110831,000000,84.9300000
SBER,D,20110901,000000,85.0900000
SBER,D,20110902,000000,82.4000000
SBER,D,20110905,000000,80.2000000
SBER,D,20110906,000000,80.4500000
SBER,D,20110907,000000,83.6700000
SBER,D,20110908,000000,85.5700000
SBER,D,20110909,000000,83.2000000
SBER,D,20110912,000000,79.6300000
SBER,D,20110913,000000,80.4100000
SBER,D,20110914,000000,80.0400000
SBER,D,20110915,000000,80.9000000
SBER,D,20110916,000000,81.4900000
SBER,D,20110919,000000,80.0700000
SBER,D,20110920,000000,81.8000000
SBER,D,20110921,000000,81.7200000
SBER,D,20110922,000000,73.8000000
SBER,D,20110923,000000,69.9900000
SBER,D,20110926,000000,69.4000000
SBER,D,20110927,000000,72.7200000
SBER,D,20110928,000000,71.0000000
SBER,D,20110929,000000,74.7000000
SBER,D,20110930,000000,70.4400000
SBER,D,20111003,000000,68.2000000
SBER,D,20111004,000000,62.6500000
SBER,D,20111005,000000,62.7900000
SBER,D,20111006,000000,65.8000000
SBER,D,20111007,000000,68.2200000
SBER,D,20111010,000000,70.6000000
SBER,D,20111011,000000,70.1000000
SBER,D,20111012,000000,74.1100000
SBER,D,20111013,000000,75.0000000
SBER,D,20111014,000000,80.7200000
SBER,D,20111017,000000,79.1000000
SBER,D,20111018,000000,78.1900000
SBER,D,20111019,000000,80.7400000
SBER,D,20111020,000000,80.8400000
SBER,D,20111021,000000,81.9000000
SBER,D,20111024,000000,84.2900000
SBER,D,20111025,000000,82.0900000
SBER,D,20111026,000000,83.5500000
SBER,D,20111027,000000,85.4600000
SBER,D,20111028,000000,85.4000000
SBER,D,20111031,000000,81.8800000
SBER,D,20111101,000000,77.2000000
SBER,D,20111102,000000,78.9200000
SBER,D,20111103,000000,80.9000000
SBER,D,20111107,000000,82.5300000
SBER,D,20111108,000000,84.2200000
SBER,D,20111109,000000,78.7000000
SBER,D,20111110,000000,80.4000000
SBER,D,20111111,000000,80.8000000
SBER,D,20111114,000000,80.1200000
SBER,D,20111115,000000,80.6000000
SBER,D,20111116,000000,79.7500000
SBER,D,20111117,000000,80.4500000
SBER,D,20111118,000000,80.0300000
SBER,D,20111121,000000,75.8500000
SBER,D,20111122,000000,76.1800000
SBER,D,20111123,000000,76.7600000
SBER,D,20111124,000000,75.7100000
SBER,D,20111125,000000,78.6000000
SBER,D,20111128,000000,82.9200000
SBER,D,20111129,000000,82.5800000
SBER,D,20111130,000000,87.5500000
SBER,D,20111201,000000,87.7000000
SBER,D,20111202,000000,89.5000000
SBER,D,20111205,000000,89.9200000
SBER,D,20111206,000000,85.9000000
SBER,D,20111207,000000,85.2500000
SBER,D,20111208,000000,86.0000000
SBER,D,20111209,000000,82.2600000
SBER,D,20111212,000000,79.9600000
SBER,D,20111213,000000,82.7200000
SBER,D,20111214,000000,81.3000000
SBER,D,20111215,000000,82.2700000
SBER,D,20111216,000000,80.6200000
SBER,D,20111219,000000,81.8000000
SBER,D,20111220,000000,82.7100000
SBER,D,20111221,000000,80.2200000
SBER,D,20111222,000000,79.9900000
SBER,D,20111223,000000,80.0000000
SBER,D,20111226,000000,81.4200000
SBER,D,20111227,000000,80.0000000
SBER,D,20111228,000000,79.2800000
SBER,D,20111229,000000,78.8000000
SBER,D,20111230,000000,79.4000000
SBER,D,20120103,000000,82.4100000
SBER,D,20120104,000000,83.5200000
SBER,D,20120105,000000,82.5500000
SBER,D,20120106,000000,83.2000000
SBER,D,20120109,000000,83.8800000
SBER,D,20120110,000000,86.8100000
SBER,D,20120111,000000,84.8500000
SBER,D,20120112,000000,84.3000000
SBER,D,20120113,000000,83.6000000
SBER,D,20120116,000000,83.9500000
SBER,D,20120117,000000,84.6600000
SBER,D,20120118,000000,84.7000000
SBER,D,20120119,000000,85.7000000
SBER,D,20120120,000000,85.1300000
SBER,D,20120123,000000,85.0200000
SBER,D,20120124,000000,85.0400000
SBER,D,20120125,000000,87.0500000
SBER,D,20120126,000000,90.4000000
SBER,D,20120127,000000,90.8000000
SBER,D,20120130,000000,88.9200000
SBER,D,20120131,000000,90.1700000
SBER,D,20120201,000000,92.7500000
SBER,D,20120202,000000,92.6200000
SBER,D,20120203,000000,94.5200000
SBER,D,20120206,000000,93.8000000
SBER,D,20120207,000000,93.4600000
SBER,D,20120208,000000,95.1700000
SBER,D,20120209,000000,95.2800000
SBER,D,20120210,000000,93.9400000
SBER,D,20120213,000000,96.1900000
SBER,D,20120214,000000,96.3600000
SBER,D,20120215,000000,97.2000000
SBER,D,20120216,000000,96.2400000
SBER,D,20120217,000000,96.7600000
SBER,D,20120220,000000,97.5000000
SBER,D,20120221,000000,96.6800000
SBER,D,20120222,000000,96.0900000
SBER,D,20120224,000000,99.0200000
SBER,D,20120227,000000,99.7200000
SBER,D,20120228,000000,98.6400000
SBER,D,20120229,000000,100.1900000
SBER,D,20120301,000000,100.2500000
SBER,D,20120302,000000,101.6000000
SBER,D,20120305,000000,102.3000000
SBER,D,20120306,000000,97.3700000
SBER,D,20120307,000000,97.6800000
SBER,D,20120311,000000,99.5700000
SBER,D,20120312,000000,99.0900000
SBER,D,20120313,000000,100.5300000
SBER,D,20120314,000000,103.3200000
SBER,D,20120315,000000,100.6500000
SBER,D,20120316,000000,100.1800000
SBER,D,20120319,000000,99.6700000
SBER,D,20120320,000000,98.4900000
SBER,D,20120321,000000,98.2000000
SBER,D,20120322,000000,96.0000000
SBER,D,20120323,000000,97.6000000
SBER,D,20120326,000000,99.9800000
SBER,D,20120327,000000,97.7900000
SBER,D,20120328,000000,95.9100000
SBER,D,20120329,000000,93.5500000
SBER,D,20120330,000000,94.8600000
SBER,D,20120402,000000,95.1300000
SBER,D,20120403,000000,98.0000000
SBER,D,20120404,000000,96.1700000
SBER,D,20120405,000000,97.4200000
SBER,D,20120406,000000,95.6400000
SBER,D,20120409,000000,95.9200000
SBER,D,20120410,000000,95.5500000
SBER,D,20120411,000000,96.0000000
SBER,D,20120412,000000,95.4100000
SBER,D,20120413,000000,94.1800000
SBER,D,20120416,000000,92.3100000
SBER,D,20120417,000000,93.2300000
SBER,D,20120418,000000,92.9000000
SBER,D,20120419,000000,94.3500000
SBER,D,20120420,000000,95.0000000
SBER,D,20120423,000000,92.5400000
SBER,D,20120424,000000,92.6500000
SBER,D,20120425,000000,93.7500000
SBER,D,20120426,000000,92.6200000
SBER,D,20120427,000000,93.7900000
SBER,D,20120428,000000,93.9500000
SBER,D,20120502,000000,93.0600000
SBER,D,20120503,000000,92.5500000
SBER,D,20120504,000000,90.8300000
SBER,D,20120505,000000,90.4200000
SBER,D,20120507,000000,88.5000000
SBER,D,20120508,000000,89.5300000
SBER,D,20120510,000000,91.7900000
SBER,D,20120511,000000,91.0400000
SBER,D,20120512,000000,90.9900000
SBER,D,20120514,000000,87.5500000
SBER,D,20120515,000000,88.1900000
SBER,D,20120516,000000,86.9100000
SBER,D,20120517,000000,80.7100000
SBER,D,20120518,000000,78.1900000
SBER,D,20120521,000000,81.9500000
SBER,D,20120522,000000,82.8200000
SBER,D,20120523,000000,78.6500000
SBER,D,20120524,000000,81.4400000
SBER,D,20120525,000000,79.8700000
SBER,D,20120528,000000,80.3700000
SBER,D,20120529,000000,84.1400000
SBER,D,20120530,000000,82.3800000
SBER,D,20120531,000000,81.6900000
SBER,D,20120601,000000,78.8600000
SBER,D,20120604,000000,78.1000000
SBER,D,20120605,000000,78.1100000
SBER,D,20120606,000000,80.6200000
SBER,D,20120607,000000,83.4400000
SBER,D,20120608,000000,81.3800000
SBER,D,20120609,000000,81.5800000
SBER,D,20120613,000000,83.0400000
SBER,D,20120614,000000,83.0500000
SBER,D,20120615,000000,84.3400000
SBER,D,20120618,000000,86.2000000
SBER,D,20120619,000000,86.9600000
SBER,D,20120620,000000,85.7300000
SBER,D,20120621,000000,85.3600000
SBER,D,20120622,000000,83.7600000
SBER,D,20120625,000000,82.3000000
SBER,D,20120626,000000,83.6000000
SBER,D,20120627,000000,84.5000000
SBER,D,20120628,000000,82.8000000
SBER,D,20120629,000000,86.3900000
SBER,D,20120702,000000,87.6500000
SBER,D,20120703,000000,90.9400000
SBER,D,20120704,000000,91.1000000
SBER,D,20120705,000000,90.9200000
SBER,D,20120706,000000,89.2000000
SBER,D,20120709,000000,90.0200000
SBER,D,20120710,000000,91.0000000
SBER,D,20120711,000000,90.0100000
SBER,D,20120712,000000,88.9200000
SBER,D,20120713,000000,90.9800000
SBER,D,20120716,000000,90.8500000
SBER,D,20120717,000000,91.2200000
SBER,D,20120718,000000,91.6000000
SBER,D,20120719,000000,92.1500000
SBER,D,20120720,000000,90.1200000
SBER,D,20120723,000000,86.0000000
SBER,D,20120724,000000,84.4500000
SBER,D,20120725,000000,86.9000000
SBER,D,20120726,000000,88.4500000
SBER,D,20120727,000000,90.3100000
SBER,D,20120730,000000,91.2400000
SBER,D,20120731,000000,89.7300000
SBER,D,20120801,000000,89.3900000
SBER,D,20120802,000000,88.7900000
SBER,D,20120803,000000,91.6600000
SBER,D,20120806,000000,93.3000000
SBER,D,20120807,000000,93.9700000
SBER,D,20120808,000000,93.9400000
SBER,D,20120809,000000,93.8700000
SBER,D,20120810,000000,92.8500000
SBER,D,20120813,000000,93.1800000
SBER,D,20120814,000000,93.5800000
SBER,D,20120815,000000,92.9800000
SBER,D,20120816,000000,92.8200000
SBER,D,20120817,000000,92.0500000
SBER,D,20120820,000000,91.5200000
SBER,D,20120821,000000,93.5700000
SBER,D,20120822,000000,92.5500000
SBER,D,20120823,000000,93.0400000
SBER,D,20120824,000000,92.9100000
SBER,D,20120827,000000,92.8100000
SBER,D,20120828,000000,94.4800000
SBER,D,20120829,000000,94.5400000
SBER,D,20120830,000000,93.4900000
SBER,D,20120831,000000,93.1600000
SBER,D,20120903,000000,94.0800000
SBER,D,20120904,000000,93.0900000
SBER,D,20120905,000000,92.8500000
SBER,D,20120906,000000,93.9500000
SBER,D,20120907,000000,93.8600000
SBER,D,20120910,000000,94.4400000
SBER,D,20120911,000000,94.0300000
SBER,D,20120912,000000,93.5800000
SBER,D,20120913,000000,92.7500000
SBER,D,20120914,000000,97.0500000
SBER,D,20120917,000000,95.5700000
SBER,D,20120918,000000,94.7500000
SBER,D,20120919,000000,93.7800000
SBER,D,20120920,000000,93.7700000
SBER,D,20120921,000000,94.1600000
SBER,D,20120924,000000,94.1700000
SBER,D,20120925,000000,93.7500000
SBER,D,20120926,000000,90.7500000
SBER,D,20120927,000000,90.0700000
SBER,D,20120928,000000,90.9900000
SBER,D,20121001,000000,92.3300000
SBER,D,20121002,000000,91.9000000
SBER,D,20121003,000000,91.9200000
SBER,D,20121004,000000,91.4700000
SBER,D,20121005,000000,93.0200000
SBER,D,20121008,000000,92.6000000
SBER,D,20121009,000000,92.6300000
SBER,D,20121010,000000,92.2900000
SBER,D,20121011,000000,92.6400000
SBER,D,20121012,000000,91.5000000
SBER,D,20121015,000000,91.2800000
SBER,D,20121016,000000,92.1900000
SBER,D,20121017,000000,93.1200000
SBER,D,20121018,000000,93.7000000
SBER,D,20121019,000000,93.1900000
SBER,D,20121022,000000,94.1000000
SBER,D,20121023,000000,93.5900000
SBER,D,20121024,000000,93.3800000
SBER,D,20121025,000000,92.8900000
SBER,D,20121026,000000,91.9500000
SBER,D,20121029,000000,91.7000000
SBER,D,20121030,000000,91.2000000
SBER,D,20121031,000000,91.7900000
SBER,D,20121101,000000,91.8400000
SBER,D,20121102,000000,91.9500000
SBER,D,20121106,000000,91.3400000
SBER,D,20121107,000000,89.9500000
SBER,D,20121108,000000,86.3400000
SBER,D,20121109,000000,85.8000000
SBER,D,20121112,000000,86.7800000
SBER,D,20121113,000000,84.3100000
SBER,D,20121114,000000,84.7200000
SBER,D,20121115,000000,86.0900000
SBER,D,20121116,000000,85.9800000
SBER,D,20121119,000000,87.3400000
SBER,D,20121120,000000,87.0000000
SBER,D,20121121,000000,87.8800000
SBER,D,20121122,000000,88.0100000
SBER,D,20121123,000000,89.3100000
SBER,D,20121126,000000,89.2000000
SBER,D,20121127,000000,89.2000000
SBER,D,20121128,000000,87.7300000
SBER,D,20121129,000000,87.9100000
SBER,D,20121130,000000,91.4100000
SBER,D,20121203,000000,92.8000000
SBER,D,20121204,000000,91.8400000
